1	1000	10	185960[ms]
1	1000	10	202087[ms]
1	1000	10	194724[ms]
1	1000	10	199430[ms]
1	1000	10	176467[ms]
1	1000	10	2150[ms]
1	1000	10	8949[ms]
1	100	10	70199[ms]
1	1000	10	228513[ms]
1	1000	10	235606[ms]
1	1000	10	242630[ms]
1	500	10	162194[ms]
1	500	10	172453[ms]
1	500	10	172063[ms]
1	500	10	121152[ms]
1	1000	10	331137[ms]
1	1000	10	231416[ms]
1	1000	10	234836[ms]
1	1000	10	538828[ms]
1	1000	10	335514[ms]
1	1000	10	253232[ms]
1	1000	10	255759[ms]
1	1000	10	247490[ms]
1	1000	10	1185646[ms]
1	1000	10	499673[ms]
NEW	1	1000	2.0E-4	2684[ms]
NEW	1	1000	2.0E-4	2990[ms]
NEW	1	1000	2.0E-4	1161586[ms]
NEW	1	1000	2.0E-4	2287[ms]
NEW	1	1000	2.0E-4	2576[ms]
NEW	1	1000	2.0E-4	2896[ms]
NEW	1	1000	2.0E-4	274203[ms]
NEW	1	1000	2.0E-4	339679[ms]
NEW	1	100000	2.0E-4	163262[ms]
NEW	1	100000	2.0E-4	146723[ms]
NEW	1	10000	2.0E-4	21714[ms]
NEW	1	1000	2.0E-4	2400[ms]
NEW	1	1000	2.0E-4	2474[ms]
NEW	1	1000	2.0E-4	2303[ms]
NEW	1	1000	2.0E-4	2558[ms]
NEW	1	1000	2.0E-4	2276[ms]
NEW	1	1000	2.0E-4	2457[ms]
NEW	1	1000	2.0E-4	2162[ms]
NEW	1	1000	2.0E-4	2371[ms]
NEW	1	1000	2.0E-4	2174[ms]
NEW	1	1000	2.0E-4	2352[ms]
NEW	1	1000	2.0E-4	2639[ms]
NEW	1	1000	2.0E-4	2305[ms]
NEW	1	1000	2.0E-4	2427[ms]
NEW	1	1000	2.0E-4	2507[ms]
NEW	1	1000	2.0E-4	2463[ms]
NEW	1	1000	2.0E-4	2601[ms]
NEW	1	1000	2.0E-4	2636[ms]
NEW	1	1000	2.0E-4	2701[ms]
NEW	1	1000	2.0E-4	2737[ms]
NEW	1	1000	2.0E-4	2923[ms]
NEW	1	1000	2.0E-4	2569[ms]
NEW	1	1000	2.0E-4	2575[ms]
NEW	1	1000	2.0E-4	2575[ms]
NEW	1	1000	2.0E-4	2053[ms]
NEW	1	1000	2.0E-4	2288[ms]
NEW	1	1000	2.0E-4	2049[ms]
NEW	1	1000	2.0E-4	2379[ms]
NEW	1	1000	2.0E-4	2311[ms]
NEW	1	1000	2.0E-4	2198[ms]
NEW	1	1000	2.0E-4	2388[ms]
NEW	1	1000	2.0E-4	2366[ms]
NEW	1	1000	2.0E-4	2294[ms]
NEW	1	1000	2.0E-4	2543[ms]
NEW	1	1000	2.0E-4	2576[ms]
NEW	1	1000	2.0E-4	2740[ms]
NEW	1	1000	2.0E-4	2640[ms]
NEW	1	1000	2.0E-4	2443[ms]
NEW	1	1000	2.0E-4	3061[ms]
NEW	1	1000	2.0E-4	2223[ms]
NEW	1	1000	2.0E-4	2432[ms]
NEW	1	1000	2.0E-4	2612[ms]
NEW	1	1000	2.0E-4	2410[ms]
NEW	1	1000	2.0E-4	2686[ms]
NEW	1	1000	2.0E-4	2677[ms]
NEW	1	1000	2.0E-4	2715[ms]
NEW	1	1000	2.0E-4	2705[ms]
NEW	1	1000	2.0E-4	2545[ms]
NEW	1	1000	2.0E-4	2450[ms]
NEW	1	1000	2.0E-4	2418[ms]
NEW	1	1000	2.0E-4	2481[ms]
NEW	1	1000	2.0E-4	2288[ms]
NEW	1	1000	2.0E-4	2801[ms]
NEW	1	1000	2.0E-4	2565[ms]
NEW	1	1000	2.0E-4	2312[ms]
NEW	1	1000	2.0E-4	2303[ms]
NEW	1	1000	2.0E-4	2387[ms]
NEW	1	1000	2.0E-4	2529[ms]
NEW	1	1000	2.0E-4	2231[ms]
NEW	1	1000	2.0E-4	2292[ms]
NEW	1	1000	2.0E-4	2322[ms]
NEW	1	1000	2.0E-4	2581[ms]
NEW	1	1000	2.0E-4	2684[ms]
NEW	1	1000	2.0E-4	2653[ms]
NEW	1	1000	2.0E-4	2439[ms]
NEW	1	1000	2.0E-4	2078[ms]
NEW	1	1000	2.0E-4	2486[ms]
NEW	1	1000	2.0E-4	2047[ms]
NEW	1	1000	2.0E-4	2629[ms]
NEW	1	1000	2.0E-4	2398[ms]
NEW	1	1000	2.0E-4	2377[ms]
NEW	1	1000	2.0E-4	2095[ms]
NEW	1	1000	2.0E-4	2570[ms]
NEW	1	1000	2.0E-4	2405[ms]
NEW	1	1000	2.0E-4	2255[ms]
NEW	1	1000	2.0E-4	2230[ms]
NEW	1	1000	2.0E-4	2907[ms]
NEW	1	1000	2.0E-4	2542[ms]
NEW	1	1000	2.0E-4	2408[ms]
NEW	1	1000	2.0E-4	2267[ms]
NEW	1	1000	2.0E-4	2442[ms]
NEW	1	1000	2.0E-4	2340[ms]
NEW	1	1000	2.0E-4	2650[ms]
NEW	1	1000	2.0E-4	2640[ms]
NEW	1	1000	2.0E-4	2443[ms]
NEW	1	1000	2.0E-4	2515[ms]
NEW	1	1000	2.0E-4	2740[ms]
NEW	1	1000	2.0E-4	2196[ms]
NEW	1	1000	2.0E-4	2494[ms]
NEW	1	1000	2.0E-4	2537[ms]
NEW	1	1000	2.0E-4	2468[ms]
NEW	1	1000	2.0E-4	2128[ms]
NEW	1	1000	2.0E-4	2803[ms]
NEW	1	1000	2.0E-4	2306[ms]
NEW	1	1000	2.0E-4	2323[ms]
NEW	1	1000	2.0E-4	2211[ms]
NEW	1	1000	2.0E-4	2582[ms]
NEW	1	1000	2.0E-4	2625[ms]
NEW	1	1000	2.0E-4	2619[ms]
NEW	1	1000	2.0E-4	2423[ms]
NEW	1	1000	2.0E-4	2198[ms]
NEW	1	1000	2.0E-4	2139[ms]
NEW	1	1000	2.0E-4	2410[ms]
NEW	1	1000	2.0E-4	2427[ms]
NEW	1	1000	2.0E-4	2693[ms]
NEW	1	1000	2.0E-4	2394[ms]
NEW	1	1000	2.0E-4	2140[ms]
NEW	1	1000	2.0E-4	2193[ms]
NEW	1	1000	2.0E-4	2401[ms]
NEW	1	1000	2.0E-4	2543[ms]
NEW	1	1000	2.0E-4	2911[ms]
NEW	1	1000	2.0E-4	2282[ms]
NEW	1	1000	2.0E-4	2203[ms]
NEW	1	1000	2.0E-4	2528[ms]
NEW	1	1000	2.0E-4	2543[ms]
NEW	1	1000	2.0E-4	2653[ms]
NEW	1	1000	2.0E-4	2561[ms]
NEW	1	1000	2.0E-4	2910[ms]
NEW	1	1000	2.0E-4	2523[ms]
NEW	1	1000	2.0E-4	2309[ms]
NEW	1	1000	2.0E-4	2450[ms]
NEW	1	1000	2.0E-4	2385[ms]
NEW	1	1000	2.0E-4	2322[ms]
NEW	1	1000	2.0E-4	2441[ms]
NEW	1	1000	2.0E-4	2385[ms]
NEW	1	1000	2.0E-4	2376[ms]
NEW	1	1000	2.0E-4	2421[ms]
NEW	1	1000	2.0E-4	2660[ms]
NEW	1	1000	2.0E-4	2675[ms]
NEW	1	1000	2.0E-4	2344[ms]
NEW	1	1000	2.0E-4	2802[ms]
NEW	1	1000	2.0E-4	2705[ms]
NEW	1	1000	2.0E-4	2486[ms]
NEW	1	1000	2.0E-4	2537[ms]
NEW	1	1000	2.0E-4	2502[ms]
NEW	1	1000	2.0E-4	2462[ms]
NEW	1	1000	2.0E-4	2294[ms]
NEW	1	1000	2.0E-4	2506[ms]
NEW	1	1000	2.0E-4	2501[ms]
NEW	1	1000	2.0E-4	2437[ms]
NEW	1	1000	2.0E-4	2696[ms]
NEW	1	1000	2.0E-4	2513[ms]
NEW	1	1000	2.0E-4	2593[ms]
NEW	1	1000	2.0E-4	2293[ms]
NEW	1	1000	2.0E-4	2954[ms]
NEW	1	1000	2.0E-4	2554[ms]
NEW	1	1000	2.0E-4	2904[ms]
NEW	1	1000	2.0E-4	2687[ms]
NEW	1	1000	2.0E-4	2341[ms]
NEW	1	1000	2.0E-4	2708[ms]
NEW	1	1000	2.0E-4	2272[ms]
NEW	1	1000	2.0E-4	2709[ms]
NEW	1	1000	2.0E-4	2640[ms]
NEW	1	1000	2.0E-4	2723[ms]
NEW	1	1000	2.0E-4	2603[ms]
NEW	1	1000	2.0E-4	2706[ms]
NEW	1	1000	2.0E-4	2663[ms]
NEW	1	1000	2.0E-4	2611[ms]
NEW	1	1000	2.0E-4	2582[ms]
NEW	1	1000	2.0E-4	2358[ms]
NEW	1	1000	2.0E-4	2743[ms]
NEW	1	1000	2.0E-4	2536[ms]
NEW	1	1000	2.0E-4	3450[ms]
NEW	1	1000	2.0E-4	2340[ms]
NEW	1	1000	2.0E-4	2968[ms]
NEW	1	1000	2.0E-4	2526[ms]
NEW	1	1000	2.0E-4	2749[ms]
NEW	1	1000	2.0E-4	2391[ms]
NEW	1	1000	2.0E-4	2251[ms]
NEW	1	1000	2.0E-4	2879[ms]
NEW	1	1000	2.0E-4	2633[ms]
NEW	1	1000	2.0E-4	2708[ms]
NEW	1	1000	2.0E-4	2448[ms]
NEW	1	1000	2.0E-4	2354[ms]
NEW	1	1000	2.0E-4	2722[ms]
NEW	1	1000	2.0E-4	2625[ms]
NEW	1	1000	2.0E-4	2729[ms]
NEW	1	1000	2.0E-4	2317[ms]
NEW	1	1000	2.0E-4	2644[ms]
NEW	1	1000	2.0E-4	2440[ms]
NEW	1	1000	2.0E-4	2228[ms]
NEW	1	1000	2.0E-4	2280[ms]
NEW	1	1000	2.0E-4	2527[ms]
NEW	1	1000	2.0E-4	2442[ms]
NEW	1	1000	2.0E-4	2675[ms]
NEW	1	1000	2.0E-4	2449[ms]
NEW	1	1000	2.0E-4	2672[ms]
NEW	1	1000	2.0E-4	2468[ms]
NEW	1	1000	2.0E-4	3167[ms]
NEW	1	1000	2.0E-4	2896[ms]
NEW	1	1000	2.0E-4	2975[ms]
NEW	1	1000	2.0E-4	2386[ms]
NEW	1	1000	2.0E-4	2542[ms]
NEW	1	1000	2.0E-4	2801[ms]
NEW	1	1000	2.0E-4	2541[ms]
NEW	1	1000	2.0E-4	2266[ms]
NEW	1	1000	2.0E-4	2472[ms]
NEW	1	1000	2.0E-4	2823[ms]
NEW	1	1000	2.0E-4	2375[ms]
NEW	1	1000	2.0E-4	2926[ms]
NEW	1	1000	2.0E-4	2800[ms]
NEW	1	1000	2.0E-4	2663[ms]
NEW	1	1000	2.0E-4	2461[ms]
NEW	1	1000	2.0E-4	2515[ms]
NEW	1	1000	2.0E-4	2562[ms]
NEW	1	1000	2.0E-4	2360[ms]
NEW	1	1000	2.0E-4	2320[ms]
NEW	1	1000	2.0E-4	2397[ms]
NEW	1	1000	2.0E-4	2756[ms]
NEW	1	1000	2.0E-4	2665[ms]
NEW	1	1000	2.0E-4	2890[ms]
NEW	1	1000	2.0E-4	2889[ms]
NEW	1	1000	2.0E-4	2383[ms]
NEW	1	1000	2.0E-4	2958[ms]
NEW	1	1000	2.0E-4	2471[ms]
NEW	1	1000	2.0E-4	2389[ms]
NEW	1	1000	2.0E-4	2304[ms]
NEW	1	1000	2.0E-4	2170[ms]
NEW	1	1000	2.0E-4	2909[ms]
NEW	1	1000	2.0E-4	2489[ms]
NEW	1	1000	2.0E-4	2615[ms]
NEW	1	1000	2.0E-4	2447[ms]
NEW	1	1000	2.0E-4	2441[ms]
NEW	1	1000	2.0E-4	2490[ms]
NEW	1	1000	2.0E-4	2423[ms]
NEW	1	1000	2.0E-4	2435[ms]
NEW	1	1000	2.0E-4	2413[ms]
NEW	1	1000	2.0E-4	2992[ms]
NEW	1	1000	2.0E-4	2359[ms]
NEW	1	1000	2.0E-4	2696[ms]
NEW	1	1000	2.0E-4	2661[ms]
NEW	1	1000	2.0E-4	2540[ms]
NEW	1	1000	2.0E-4	2874[ms]
NEW	1	1000	2.0E-4	2137[ms]
NEW	1	1000	2.0E-4	2476[ms]
NEW	1	1000	2.0E-4	2738[ms]
NEW	1	1000	2.0E-4	2800[ms]
NEW	1	1000	2.0E-4	2921[ms]
NEW	1	1000	2.0E-4	2706[ms]
NEW	1	1000	2.0E-4	2548[ms]
NEW	1	1000	2.0E-4	2419[ms]
NEW	1	1000	2.0E-4	2406[ms]
